DateandTime,Borough,LocationType,Location,Event Name,Attendance,day,time,turnoutStatus,turnoutStatus123
5/4/18,Brooklyn,Park,Sunset Park,Movies Under the Stars,93,Fri,20:00,less than avg,0
5/4/18,Staten Island,Park,Father Macris Park,Movies Under the Stars: Angels In the Outfield,95,Fri,19:00,less than avg,0
5/5/18,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Coco,61,Sat,20:00,less than avg,0
5/5/18,Brooklyn,Park,Maria Hernandez Park,"Movies Under the Stars "" Coco""",95,Sat,20:00,less than avg,0
5/10/18,Manhattan,Recreation Center,Highbridge Recreation Center,Movies Under the Stars: Selena,35,Thu,20:15,less than avg,0
5/11/18,Staten Island,Park,Cedar Grove Park,Movies Under the Stars: Sing,0,Fri,20:00,less than avg,0
5/11/18,Brooklyn,Park,Owl's Head Park,"Movies Under the Stars ""AOBFF"" Short Independent Films",15,Fri,20:00,less than avg,0
5/11/18,Brooklyn,Park,McCarren Park,"Movies Under the Stars ""Lady Bird""",61,Fri,20:00,less than avg,0
5/11/18,Manhattan,Park,Carl Schurz Park,Movies Under the Stars: Ferdinand,400,Fri,20:25,more than avg,1
5/12/18,Bronx,Park,Van Cortlandt Park,Movies Under The Stars: Coco,52,Sat,20:00,less than avg,0
5/18/18,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: The Lego Movie,95,Fri,0:00,less than avg,0
5/18/18,Bronx,Park,St. James Park,Movies Under The Stars: Coco,175,Fri,20:00,more than avg,1
5/19/18,Bronx,Playground,Claremont Park,Movies Under The Stars: Up,52,Sat,20:00,less than avg,0
5/19/18,Queens,Park,Addabbo Park ( Tudor Field ),MUTS - Zootopia,89,Sat,20:00,less than avg,0
5/20/18,Brooklyn,Park,Coffey Park,Movies Under the Stars : Jumanji (2017),16,Sun,20:00,less than avg,0
5/20/18,Brooklyn,Park,Fort Greene Park,Movies Under the Stars : Sparkle,95,Sun,20:00,less than avg,0
5/23/18,Manhattan,Playground,Happy Warrior Playground,Movies Under the Stars - Wonder,16,Wed,18:00,less than avg,0
5/23/18,Manhattan,Playground,Happy Warrior Playground,Movies Under the Stars: Wonder,16,Wed,20:30,less than avg,0
5/24/18,Manhattan,Park,Sara D. Roosevelt Park,Movies Under the Stars: The House,95,Thu,20:30,less than avg,0
5/25/18,Queens,Playground,Frank D. O'Connor Playground,MUTS - COCO,15,Fri,20:00,less than avg,0
5/25/18,Staten Island,Park,Wolfe's Pond Park,Movies Under the Stars: Despicable Me 2,35,Fri,20:10,less than avg,0
5/25/18,Brooklyn,Park,Bensonhurst Park,Movies Under the Stars : Jumanji (2017),35,Fri,20:00,less than avg,0
5/25/18,Bronx,Park,Williamsbridge Oval,Movies Under The Stars: Toy Story,52,Fri,20:15,less than avg,0
5/25/18,Manhattan,Park,Marcus Garvey Park,Movies Under the Stars: Lilies of the Field,100,Fri,20:30,less than avg,0
5/25/18,Manhattan,Park,Marcus Garvey Park,Movies Under the Stars: Lilies of the Field,100,Fri,20:30,less than avg,0
5/25/18,Brooklyn,Park,Prospect Park,Movies Under the Stars : Festival Friday The Seventh Seal,120,Fri,20:00,more than avg,1
